alpha,r,snr_db,accuracy,rho
0.25,0.25,-10,0.8598726114649682,0.015943877398967743
0.25,0.25,-5,0.8805095541401274,0.015943877398967743
0.25,0.25,0,0.8878980891719745,0.015943877398967743
0.25,0.25,5,0.8856050955414013,0.015943877398967743
0.25,0.25,10,0.889171974522293,0.015943877398967743
0.3,0.25,-10,0.8670063694267516,0.01913265325129032
0.3,0.25,-5,0.8927388535031847,0.01913265325129032
0.3,0.25,0,0.8945222929936306,0.01913265325129032
0.3,0.25,5,0.8965605095541401,0.01913265325129032
0.3,0.25,10,0.8950318471337579,0.01913265325129032
0.4,0.25,-10,0.8858598726114649,0.025191325694322586
0.4,0.25,-5,0.9014012738853503,0.025191325694322586
0.4,0.25,0,0.9080254777070064,0.025191325694322586
0.4,0.25,5,0.904968152866242,0.025191325694322586
0.4,0.25,10,0.9054777070063694,0.025191325694322586
0.5,0.25,-10,0.8853503184713376,0.03156887739896774
0.5,0.25,-5,0.9075159235668789,0.03156887739896774
0.5,0.25,0,0.9118471337579618,0.03156887739896774
0.5,0.25,5,0.9123566878980892,0.03156887739896774
0.5,0.25,10,0.9103184713375796,0.03156887739896774
0.6,0.25,-10,0.8909554140127388,0.0379464291036129
0.6,0.25,-5,0.9080254777070064,0.0379464291036129
0.6,0.25,0,0.9136305732484077,0.0379464291036129
0.6,0.25,5,0.9161783439490446,0.0379464291036129
0.6,0.25,10,0.9174522292993631,0.0379464291036129
0.7,0.25,-10,0.8896815286624203,0.044005103409290314
0.7,0.25,-5,0.9113375796178343,0.044005103409290314
0.7,0.25,0,0.9194904458598726,0.044005103409290314
0.7,0.25,5,0.92,0.044005103409290314
0.7,0.25,10,0.9197452229299363,0.044005103409290314
0.8,0.25,-10,0.8978343949044586,0.05038265138864517
0.8,0.25,-5,0.92,0.05038265138864517
0.8,0.25,0,0.9210191082802548,0.05038265138864517
0.8,0.25,5,0.9245859872611465,0.05038265138864517
0.8,0.25,10,0.9245859872611465,0.05038265138864517
0.9,0.25,-10,0.8998726114649681,0.056441325694322586
0.9,0.25,-5,0.9164331210191082,0.056441325694322586
0.9,0.25,0,0.9212738853503185,0.056441325694322586
0.9,0.25,5,0.9238216560509555,0.056441325694322586
0.9,0.25,10,0.922547770700637,0.056441325694322586
1.0,0.25,-10,0.8996178343949045,0.06281887739896774
1.0,0.25,-5,0.9164331210191082,0.06281887739896774
1.0,0.25,0,0.9187261146496816,0.06281887739896774
1.0,0.25,5,0.9212738853503185,0.06281887739896774
1.0,0.25,10,0.9217834394904458,0.06281887739896774
0.05,0.1,-10,0.5712101910828026,0.001403061207383871
0.05,0.1,-5,0.704203821656051,0.001403061207383871
0.05,0.1,0,0.7388535031847133,0.001403061207383871
0.05,0.1,5,0.7533757961783439,0.001403061207383871
0.05,0.1,10,0.7554140127388536,0.001403061207383871
0.1,0.1,-10,0.7113375796178344,0.0026785715017467737
0.1,0.1,-5,0.7951592356687898,0.0026785715017467737
0.1,0.1,0,0.8208917197452229,0.0026785715017467737
0.1,0.1,5,0.8287898089171974,0.0026785715017467737
0.1,0.1,10,0.8333757961783439,0.0026785715017467737
0.15,0.1,-10,0.7757961783439491,0.0038265306502580643
0.15,0.1,-5,0.8326114649681529,0.0038265306502580643
0.15,0.1,0,0.8519745222929936,0.0038265306502580643
0.15,0.1,5,0.8552866242038216,0.0038265306502580643
0.15,0.1,10,0.8593630573248408,0.0038265306502580643
